From	Entry
ENSG00000000005	Q9H2S6
ENSG00000000460	Q9NSG2
ENSG00000001036	Q9BTY2
ENSG00000001497	Q9Y4W2
ENSG00000001561	Q9Y6X5
ENSG00000001617	Q13275
ENSG00000001626	P13569
ENSG00000001630	Q16850
ENSG00000001631	O00522
ENSG00000002016	P43351
ENSG00000002549	P28838
ENSG00000002586	P14209
ENSG00000002726	P19801
ENSG00000002746	Q76N89
ENSG00000002822	Q9Y6D9
ENSG00000002834	Q14847
ENSG00000003147	Q05084
ENSG00000003393	Q96Q42
ENSG00000003402	O15519
ENSG00000003509	Q7L592
ENSG00000003756	P52756
ENSG00000004139	Q6SZW1
ENSG00000004399	Q9Y4D7
ENSG00000004478	Q02790
ENSG00000004487	O60341
ENSG00000004534	P78332
ENSG00000004700	P46063
ENSG00000004766	Q96JG6
ENSG00000004776	O14558
ENSG00000004777	O14559
ENSG00000004838	O75800
ENSG00000004848	Q96QS3
ENSG00000004866	Q9NRC1
ENSG00000005001	Q9GZN4
ENSG00000005007	Q92900
ENSG00000005059	Q9NWR8
ENSG00000005073	P31270
ENSG00000005100	Q9H6R0
ENSG00000005108	Q9UPZ6
ENSG00000005187	Q53FZ2
ENSG00000005206	Q8TCT7
ENSG00000005249	P31323
ENSG00000005339	Q92793
ENSG00000005379	O95153
ENSG00000005436	P16383
ENSG00000005471	P21439
ENSG00000005483	Q8IZD2
ENSG00000005513	P57073
ENSG00000005700	Q9P2D0
ENSG00000005810	O75592
ENSG00000005812	Q9UKT7
ENSG00000005844	P20701
ENSG00000005884	P26006
ENSG00000005981	Q9Y574
ENSG00000006015	Q96EN9
ENSG00000006016	O75462
ENSG00000006025	Q9BZF2
ENSG00000006047	Q9Y2T7
ENSG00000006062	Q99558
ENSG00000006118	Q24JP5
ENSG00000006125	P63010
ENSG00000006194	O14978
ENSG00000006282	Q8TB22
ENSG00000006283	O43497
ENSG00000006327	Q9NP84
ENSG00000006377	P56179
ENSG00000006432	P80192
ENSG00000006459	Q6ZMT4
ENSG00000006468	P50549
ENSG00000006576	Q8N3S3
ENSG00000006607	O94887
ENSG00000006695	Q12887
ENSG00000006704	Q9UHL9
ENSG00000006715	P49754
ENSG00000006740	Q17R89
ENSG00000006747	Q9Y6U3
ENSG00000007038	Q9Y6M0
ENSG00000007062	O43490
ENSG00000007080	Q96CT7
ENSG00000007174	Q9NYC9
ENSG00000007312	P40259
ENSG00000007314	P35499
ENSG00000007384	Q96CC6
ENSG00000007392	Q9NQ29
ENSG00000007516	O94812
ENSG00000007545	Q96RY5
ENSG00000007908	P16581
ENSG00000007923	Q9NVH1
ENSG00000007944	Q8WY64
ENSG00000007952	Q9Y5S8
ENSG00000008018	P20618
ENSG00000008056	P17600
ENSG00000008128	Q9UQ88
ENSG00000008130	O95544
ENSG00000008197	Q7Z6R9
ENSG00000008226	Q9Y238
ENSG00000008256	O43739
ENSG00000008277	Q9P0K1
ENSG00000008294	O60271
ENSG00000008300	Q9NYQ7
ENSG00000008311	Q9UDR5
ENSG00000008382	Q8N594
ENSG00000008441	Q14938
ENSG00000008516	Q9NPA2
ENSG00000008710	P98161
ENSG00000008735	Q13387
ENSG00000008838	O75448
ENSG00000008853	Q9BYZ6
ENSG00000008952	Q99442
ENSG00000009335	Q15386
ENSG00000009413	O60673
ENSG00000009694	Q9UKZ4
ENSG00000009709	P23759
ENSG00000009724	O00187
ENSG00000009790	Q9Y228
ENSG00000009950	Q9NP71
ENSG00000009954	Q9UIG0
ENSG00000010017	Q96S59
ENSG00000010219	Q9NR20
ENSG00000010244	O43670
ENSG00000010256	P31930
ENSG00000010278	P21926
ENSG00000010282	Q9HCP6
ENSG00000010292	Q15021
ENSG00000010295	Q0D2I5
ENSG00000010322	Q9Y2I1
ENSG00000010327	Q9NY15
ENSG00000010361	Q9BT04
ENSG00000010438	P35030
ENSG00000010803	Q96GD3
ENSG00000010818	P31629
ENSG00000011007	Q14241
ENSG00000011021	P51797
ENSG00000011028	Q9UBG0
ENSG00000011083	Q99884
ENSG00000011114	Q9P203
ENSG00000011143	Q9NXB0
ENSG00000011198	Q8WTS1
ENSG00000011243	Q9ULX6
ENSG00000011260	Q9Y5J1
ENSG00000011275	Q9NWF9
ENSG00000011295	Q6DKK2
ENSG00000011304	P26599
ENSG00000011347	O43581
ENSG00000011376	Q15031
ENSG00000011422	Q03405
ENSG00000011426	Q9NQW6
ENSG00000011454	Q9Y3P9
ENSG00000011478	Q9NXS2
ENSG00000011523	Q76N32
ENSG00000011566	Q8IVH8
ENSG00000011590	Q9Y2Y4
ENSG00000012048	P38398
ENSG00000012174	O43462
ENSG00000012211	O43900
ENSG00000012223	P02788
ENSG00000012817	Q9BY66
ENSG00000012963	Q8N806
ENSG00000012983	Q9Y4K4
ENSG00000013306	Q9BZJ4
ENSG00000013392	Q9UIY3
ENSG00000013503	Q9NW08
ENSG00000013523	Q9UNK9
ENSG00000013561	Q9UBS8
ENSG00000013573	Q96FC9
ENSG00000013619	Q13495
ENSG00000014164	Q8IXZ2
ENSG00000015133	Q9P219
ENSG00000015153	Q8IY57
ENSG00000015171	Q15326
ENSG00000015413	P16444
ENSG00000015532	Q9H1B5
ENSG00000015568	Q99666
ENSG00000015592	Q9H169
ENSG00000016082	P61371
ENSG00000016391	Q8NE62
ENSG00000016602	Q14CN2
ENSG00000017260	P98194
ENSG00000017483	Q8WUX1
ENSG00000017797	Q15311
ENSG00000018189	Q7L099
ENSG00000018408	Q9GZV5
ENSG00000019144	Q86UU1
ENSG00000019995	Q9UGI0
ENSG00000020181	Q96PE1
ENSG00000020256	Q9NTW7
ENSG00000020633	Q13761
ENSG00000020922	P49959
ENSG00000021488	P82251
ENSG00000021574	Q9UBP0
ENSG00000021645	Q9HDB5
ENSG00000021645	Q9Y4C0
ENSG00000021762	Q9H0X9
ENSG00000021776	O60306
ENSG00000021852	P07358
ENSG00000022267	Q13642
ENSG00000022567	Q5BKX6
ENSG00000022840	Q8N5U6
ENSG00000022976	A8K0R7
ENSG00000023171	Q3KR37
ENSG00000023287	Q8TDY2
ENSG00000023445	Q13489
ENSG00000023516	Q9UKA4
ENSG00000023608	Q16533
ENSG00000023697	Q9Y315
ENSG00000023839	Q92887
ENSG00000023892	Q9H4E7
ENSG00000024048	Q8IWV8
ENSG00000025039	Q9NQL2
ENSG00000025293	Q9BVI0
ENSG00000025796	Q9UGP8
ENSG00000026025	P08670
ENSG00000026508	P16070
ENSG00000026559	Q9UIX4
ENSG00000026751	Q9NQ25
ENSG00000026950	O00481
ENSG00000027644	P14616
ENSG00000027697	P15260
ENSG00000028116	Q86Y07
ENSG00000028203	Q9HBM0
ENSG00000028277	P09086
ENSG00000028310	Q9H8M2
ENSG00000029363	Q9NYF8
ENSG00000029364	Q9NUM3
ENSG00000029993	O15347
ENSG00000030066	Q12769
ENSG00000030419	Q9UKS7
ENSG00000030582	P28799
ENSG00000031003	Q9NYF5
ENSG00000031081	Q2M1Z3
ENSG00000031691	Q7L2Z9
ENSG00000032219	P29374
ENSG00000032389	Q53HC9
ENSG00000032444	Q8IY17
ENSG00000032742	Q13099
ENSG00000033011	Q9BT22
ENSG00000033100	Q9P2E5
ENSG00000033170	Q9BYC5
ENSG00000033327	Q9UQC2
ENSG00000033627	Q93050
ENSG00000033800	O75925
ENSG00000033867	Q9Y6M7
ENSG00000034053	Q99767
ENSG00000034533	Q2TB18
ENSG00000034677	Q9NV58
ENSG00000035720	Q9ULZ2
ENSG00000036054	Q9NUY8
ENSG00000036257	Q13618
ENSG00000036448	P54296
ENSG00000036530	Q9Y6A2
ENSG00000036549	Q8IYH5
ENSG00000036672	O75604
ENSG00000036828	P41180
ENSG00000037280	P35916
ENSG00000038002	P20933
ENSG00000038210	Q8TCG2
ENSG00000038219	Q8NFC6
ENSG00000038295	O43897
ENSG00000038358	Q6P2E9
ENSG00000038382	O75962
ENSG00000038427	P13611
ENSG00000039068	P12830
ENSG00000039139	Q8TE73
ENSG00000039319	Q7Z3T8
ENSG00000039523	Q6ZS17
ENSG00000039537	P13671
ENSG00000039560	Q9P0K7
ENSG00000039600	O94993
ENSG00000039987	Q8NFU1
ENSG00000040199	Q6ZVD8
ENSG00000040275	Q96EA4
ENSG00000040341	Q9NUL3
ENSG00000040633	Q9BUL5
ENSG00000040933	Q96PE3
ENSG00000041515	Q9Y6X6
ENSG00000041880	Q9Y6F1
ENSG00000041982	P24821
ENSG00000042062	Q96MK2
ENSG00000042088	Q9NUW8
ENSG00000042286	Q9BRQ8
ENSG00000042429	Q9NVC6
ENSG00000042753	P53680
ENSG00000042781	O75445
ENSG00000043143	Q9NQC1
ENSG00000043355	O95409
ENSG00000043591	P08588
ENSG00000044012	Q16661
ENSG00000044090	Q14999
ENSG00000044115	P35221
ENSG00000044446	P46019
ENSG00000044524	P29320
ENSG00000044574	P11021
ENSG00000046604	Q14126
ENSG00000046651	O75665
ENSG00000046774	Q9UBF1
ENSG00000047249	Q9UI12
ENSG00000047315	P30876
ENSG00000047365	Q8WZ64
ENSG00000047410	P12270
ENSG00000047578	O60303
ENSG00000047597	P51811
ENSG00000047621	Q9NQ89
ENSG00000047644	Q9ULE0
ENSG00000047648	O43182
ENSG00000047662	Q9ULE4
ENSG00000047849	P27816
ENSG00000048028	Q96RU2
ENSG00000048162	Q9Y3C1
ENSG00000048342	Q9P2K1
ENSG00000048649	Q96T23
ENSG00000048707	Q5THJ4
ENSG00000048740	O95319
ENSG00000048991	Q15032
ENSG00000049130	P21583
ENSG00000049167	Q13216
ENSG00000049245	Q15836
ENSG00000049246	P56645
ENSG00000049249	Q07011
ENSG00000049283	Q9H201
ENSG00000049323	Q14766
ENSG00000049540	P15502
ENSG00000049618	Q8NFD5
ENSG00000049656	Q96KA5
ENSG00000049759	Q96PU5
ENSG00000049768	Q9BZS1
ENSG00000049769	Q6ZSY5
ENSG00000050030	Q5QGS0
ENSG00000050327	Q12774
ENSG00000050344	Q9Y4A8
ENSG00000050628	P43115
ENSG00000050730	Q96KP6
ENSG00000050767	Q86Y22
ENSG00000051009	Q8N612
ENSG00000051341	O75417
ENSG00000051523	P13498
ENSG00000051596	Q96J01
ENSG00000051825	Q99550
ENSG00000052126	Q9HAU0
ENSG00000052344	Q16651
ENSG00000052749	Q5JTH9
ENSG00000052795	Q9P278
ENSG00000052841	Q96AE7
ENSG00000052850	Q9H161
ENSG00000053108	Q6MZW2
ENSG00000053254	O00409
ENSG00000053747	Q16787
ENSG00000054116	O43617
ENSG00000054118	Q9Y2W1
ENSG00000054219	O60449
ENSG00000054267	Q4LE39
ENSG00000054356	Q16849
ENSG00000054392	Q5VTY9
ENSG00000054598	Q12948
ENSG00000054654	Q8WXH0
ENSG00000054690	Q9ULM0
ENSG00000055044	Q9Y2X3
ENSG00000055118	Q12809
ENSG00000055130	Q13616
ENSG00000055147	Q9NRY5
ENSG00000055163	Q96F07
ENSG00000055208	Q9NYJ8
ENSG00000055483	Q9P275
ENSG00000055609	Q8NEZ4
ENSG00000055732	Q8TDD5
ENSG00000055813	Q96PX6
ENSG00000055917	Q8TB72
ENSG00000056097	Q96KR1
ENSG00000056277	Q8ND82
ENSG00000056586	Q9HBD1
ENSG00000057019	Q96PD2
ENSG00000057149	P29508
ENSG00000057252	P35610
ENSG00000057294	Q99959
ENSG00000057468	O15457
ENSG00000057657	O75626
ENSG00000057704	Q9ULS5
ENSG00000058272	O14974
ENSG00000058335	Q13972
ENSG00000058404	Q13554
ENSG00000058453	Q5TZA2
ENSG00000058673	O75152
ENSG00000058799	Q9Y548
ENSG00000058804	Q9BTX1
ENSG00000058866	P49619
ENSG00000059122	Q4VC44
ENSG00000059378	Q9H0J9
ENSG00000059588	Q13395
ENSG00000059915	A5PKW4
ENSG00000060069	Q9Y5B0
ENSG00000060138	P16989
ENSG00000060237	Q9H4A3
ENSG00000060339	Q8IX12
ENSG00000060566	Q68CJ9
ENSG00000060718	P12107
ENSG00000060749	Q2KHR3
ENSG00000060971	P09110
ENSG00000060982	P54687
ENSG00000061337	Q9Y250
ENSG00000061455	Q9NQX0
ENSG00000061676	Q9Y2A7
ENSG00000061918	Q02153
ENSG00000061936	Q12872
ENSG00000061938	Q07912
ENSG00000062038	P22223
ENSG00000062194	Q86WP2
ENSG00000062370	Q9UJU3
ENSG00000062524	P29376
ENSG00000062650	Q7Z5K2
ENSG00000062822	P28340
ENSG00000063015	Q53EL9
ENSG00000063046	P23588
ENSG00000063127	Q9GZN6
ENSG00000063169	Q9NZM4
ENSG00000063241	Q96AB3
ENSG00000063244	P26368
ENSG00000063515	O15499
ENSG00000063587	Q9NSD4
ENSG00000063601	Q13613
ENSG00000063761	Q86TW2
ENSG00000064042	Q9UPQ0
ENSG00000064115	Q9NS93
ENSG00000064218	Q9NQL9
ENSG00000064270	O75185
ENSG00000064300	P08138
ENSG00000064313	Q6P1X5
ENSG00000064393	Q9H2X6
