From	Entry
ENSP00000001008	Q02790
ENSP00000002125	Q7L592
ENSP00000002165	Q9BTY2
ENSP00000002829	Q13275
ENSP00000003084	P13569
ENSP00000003100	Q16850
ENSP00000003302	Q96RU2
ENSP00000004982	O14558
ENSP00000005259	Q9UHQ4
ENSP00000005286	Q24JP5
ENSP00000005995	Q9Y6M0
ENSP00000006015	P31270
ENSP00000006251	P85299
ENSP00000006658	Q8TB22
ENSP00000006750	P40259
ENSP00000007414	Q9BZF2
ENSP00000007510	O14559
ENSP00000007699	Q9Y2T7
ENSP00000007722	P26006
ENSP00000008391	Q7Z6R9
ENSP00000009180	P21926
ENSP00000010132	Q9NR20
ENSP00000011292	P15085
ENSP00000011619	Q96S59
ENSP00000012049	Q9NXS2
ENSP00000012134	P31629
ENSP00000013070	Q8N806
ENSP00000013125	Q9Y4K4
ENSP00000014112	P26599
ENSP00000016913	Q9NXJ0
ENSP00000016946	Q99666
ENSP00000017003	Q9H1B5
ENSP00000019317	Q15311
ENSP00000020673	A5PKW4
ENSP00000022615	Q9Y277
ENSP00000023064	P82251
ENSP00000024061	Q5BKX6
ENSP00000025008	Q8TDY2
ENSP00000025301	Q9UKA4
ENSP00000033079	Q9NYF5
ENSP00000035307	Q9P2E5
ENSP00000039989	Q96AE7
ENSP00000040738	Q8NFC6
ENSP00000040877	Q13395
ENSP00000042381	Q6ZS17
ENSP00000042931	Q8NFU1
ENSP00000045083	Q96MK2
ENSP00000053867	P28799
ENSP00000054216	P21583
ENSP00000054666	Q15836
ENSP00000055163	Q8NFD5
ENSP00000055335	Q6ZSY5
ENSP00000055682	Q5QGS0
ENSP00000056217	Q12774
ENSP00000056233	Q9Y4A8
ENSP00000057513	Q96KP6
ENSP00000061240	O43897
ENSP00000070846	Q99959
ENSP00000072516	Q9NPH3
ENSP00000072644	Q9Y548
ENSP00000074304	Q96PE3
ENSP00000075322	Q13822
ENSP00000075430	Q9Y5B0
ENSP00000078429	P29992
ENSP00000078445	Q68CJ9
ENSP00000085068	Q96AB3
ENSP00000086933	O15499
ENSP00000155093	P08048
ENSP00000156084	Q96G74
ENSP00000156109	Q92917
ENSP00000156471	O60306
ENSP00000156626	Q9NSC7
ENSP00000156825	O95983
ENSP00000157600	Q9NZU5
ENSP00000158762	Q15027
ENSP00000159060	Q9HBY0
ENSP00000159087	Q9HCE9
ENSP00000160262	P32942
ENSP00000160373	Q8WZ74
ENSP00000161006	Q9GZN4
ENSP00000162391	Q9P0K8
ENSP00000162749	P19438
ENSP00000163416	Q8TBA6
ENSP00000164024	Q9NYQ7
ENSP00000164227	P20749
ENSP00000164640	Q76G19
ENSP00000166244	P29322
ENSP00000166534	O15460
ENSP00000167462	Q6P1M3
ENSP00000167586	P02533
ENSP00000167588	P35900
ENSP00000169298	P15907
ENSP00000169551	Q9BVV7
ENSP00000170168	Q8N1G1
ENSP00000170447	Q9H000
ENSP00000170630	P24394
ENSP00000171887	Q9HBL0
ENSP00000172229	P08138
ENSP00000174618	Q99583
ENSP00000174653	P53677
ENSP00000175238	Q9H2U9
ENSP00000175506	P08243
ENSP00000175756	Q99952
ENSP00000176195	P09683
ENSP00000177648	Q96QP1
ENSP00000178638	O43570
ENSP00000180166	Q9NP95
ENSP00000181839	Q14004
ENSP00000182527	Q15035
ENSP00000183936	P20807
ENSP00000184956	Q6AI08
ENSP00000185942	O75330
ENSP00000187397	Q9UBL0
ENSP00000187879	Q9UK12
ENSP00000188376	Q00325
ENSP00000189444	Q00653
ENSP00000190165	Q9NQL9
ENSP00000191018	P10619
ENSP00000192314	Q9H3Q3
ENSP00000192788	Q6BDS2
ENSP00000193391	Q9BZV3
ENSP00000194152	Q9Y5E5
ENSP00000194530	Q9C0K7
ENSP00000195654	Q5JWR5
ENSP00000196169	Q9H7E2
ENSP00000196489	Q9BWM5
